case_id,case_name,tau,n,method,mean,range
3,Case 3: TVCQR (i.i.d. design),0.8,5000,screen-seq(1)(ft),283.8,99.3
3,Case 3: TVCQR (i.i.d. design),0.8,200,screen-seq(2)(ft),0.024,0.014
3,Case 3: TVCQR (i.i.d. design),0.8,500,screen-seq(2)(ft),0.28,0.14
3,Case 3: TVCQR (i.i.d. design),0.8,1000,screen-seq(2)(ft),2.1,1.0
3,Case 3: TVCQR (i.i.d. design),0.8,2000,screen-seq(2)(ft),16.6,6.8
3,Case 3: TVCQR (i.i.d. design),0.8,5000,screen-seq(2)(ft),280.7,101.0
4,Case 4: TVCQR (dependent design),0.2,200,rq,0.23,0.13
4,Case 4: TVCQR (dependent design),0.2,500,rq,0.79,0.18
4,Case 4: TVCQR (dependent design),0.2,1000,rq,2.8,1.5
4,Case 4: TVCQR (dependent design),0.2,2000,rq,10.2,5.9
4,Case 4: TVCQR (dependent design),0.2,5000,rq,62.8,21.0
4,Case 4: TVCQR (dependent design),0.2,200,seq,0.096,0.056
4,Case 4: TVCQR (dependent design),0.2,500,seq,0.30,0.34
4,Case 4: TVCQR (dependent design),0.2,1000,seq,1.1,0.61
4,Case 4: TVCQR (dependent design),0.2,2000,seq,3.9,2.2
4,Case 4: TVCQR (dependent design),0.2,5000,seq,17.6,12.4
4,Case 4: TVCQR (dependent design),0.2,200,seq(ft),0.0034,0.0035
4,Case 4: TVCQR (dependent design),0.2,500,seq(ft),0.018,0.010
4,Case 4: TVCQR (dependent design),0.2,1000,seq(ft),0.075,0.017
4,Case 4: TVCQR (dependent design),0.2,2000,seq(ft),0.76,0.64
4,Case 4: TVCQR (dependent design),0.2,5000,seq(ft),2.9,2.1
4,Case 4: TVCQR (dependent design),0.2,200,screen-seq(1),0.18,3.6
4,Case 4: TVCQR (dependent design),0.2,500,screen-seq(1),0.80,0.64
4,Case 4: TVCQR (dependent design),0.2,1000,screen-seq(1),4.8,4.0
4,Case 4: TVCQR (dependent design),0.2,2000,screen-seq(1),38.0,31.2
4,Case 4: TVCQR (dependent design),0.2,5000,screen-seq(1),607.6,988.0
