"case","n","replication","total_iterations_direct","total_iterations_mst","reduction"
2,500,97,133766,38239,0.714135131498288
2,500,98,123650,33478,0.729251920744036
2,500,99,133864,37613,0.719020797227036
2,800,1,370702,84903,0.770966976169538
2,800,10,327055,91185,0.721193683019676
2,800,100,322467,91789,0.715353819150487
2,800,11,342449,82728,0.758422422024885
2,800,12,327940,89162,0.728114899066902
2,800,13,347671,86473,0.751279226625172
2,800,14,356515,81865,0.770374318051134
2,800,15,323764,84611,0.738664582844294
2,800,16,324678,81653,0.748510832270742
2,800,17,327433,83829,0.743981211423406
2,800,18,303048,87699,0.710610200364299
2,800,19,339693,89714,0.735896824485639
2,800,2,348899,89181,0.744393076506382
2,800,20,313550,82211,0.73780577260405
2,800,21,333105,83772,0.748511730535417
2,800,22,336378,81708,0.757094697037262
2,800,23,320484,83812,0.738483044395352
2,800,24,331500,86727,0.738380090497738
2,800,25,317937,86592,0.727644155917682
2,800,26,332784,84836,0.745071878455695
2,800,27,327888,83646,0.744894598155468
2,800,28,309211,81366,0.736859296726184
2,800,29,316088,85445,0.729679709448002
2,800,3,340726,87763,0.742423530931012
2,800,30,336581,84230,0.74974820325568
2,800,31,300612,87494,0.708947081287507
2,800,32,329736,85823,0.739722080694859
2,800,33,303233,87270,0.712201508411024
2,800,34,338113,91522,0.729315347235983
2,800,35,345162,85900,0.751131352814041
2,800,36,318577,89585,0.718796397731161
2,800,37,345968,90060,0.73968690745965
2,800,38,328602,84070,0.744158586983646
2,800,39,329166,85683,0.739696687993292
2,800,4,358980,80209,0.776564153991866
2,800,40,340567,87704,0.742476517102362
2,800,41,337323,86944,0.74225297415237
2,800,42,378803,80834,0.786606758658194
2,800,43,339098,82453,0.756846103486308
2,800,44,336576,88158,0.738074015972618
2,800,45,348247,86634,0.751228294859683
2,800,46,354464,87581,0.752919901597906
2,800,47,331946,84284,0.746091231706362
2,800,48,338193,83474,0.753176440671451
2,800,49,353489,88836,0.748688077988283
2,800,5,325484,85052,0.738690688328766
2,800,50,353319,83490,0.763697961332394
2,800,51,351281,83439,0.762472208858435
2,800,52,346181,83787,0.757967652759683
2,800,53,300115,88233,0.706002698965397
2,800,54,347881,84726,0.756451200266758
2,800,55,325935,82841,0.745835826161658
2,800,56,319821,83061,0.740289099214873
2,800,57,330740,81370,0.753975932756848
2,800,58,325581,85111,0.738587325427467
2,800,59,321841,88817,0.724034538794001
2,800,6,333833,86502,0.740882417256532
2,800,60,339789,81496,0.760157038632799
2,800,61,336985,85870,0.74518153627016
2,800,62,333190,89716,0.730736216573126
2,800,63,313035,79286,0.746718418068267
2,800,64,337210,88678,0.737024406156401
2,800,65,337431,80208,0.762298069827609
2,800,66,331308,83332,0.748475738587659
2,800,67,319282,79825,0.74998590587631
2,800,68,336848,87106,0.741408587849713
2,800,69,300731,83443,0.72253276183699
2,800,7,347593,88880,0.744298648131579
2,800,70,332471,90189,0.728731227686024
2,800,71,324692,82753,0.745133849925468
2,800,72,318115,87468,0.72504283042296
2,800,73,343602,87196,0.746229649419968
2,800,74,336859,87858,0.739184644020198
2,800,75,335705,90311,0.730981069689162
2,800,76,345407,88157,0.744773556992186
2,800,77,318978,87338,0.726194282991304
2,800,78,353756,86414,0.755724284535103
2,800,79,357201,90693,0.74610093476782
2,800,8,338571,84838,0.749423311506301
2,800,80,325413,85911,0.735993952300615
2,800,81,336071,85030,0.74698798765737
2,800,82,364808,92018,0.747763206947216
2,800,83,320696,90832,0.716766033876319
2,800,84,349703,81458,0.767065195322888
2,800,85,344893,88391,0.743714717318125
2,800,86,340861,84747,0.751373727120439
2,800,87,340702,89587,0.737051734360233
2,800,88,346855,84825,0.755445359011691
2,800,89,328219,88488,0.730399519832795
2,800,9,318222,83036,0.739062666943203
2,800,90,329895,82937,0.748595765319268
2,800,91,321509,81468,0.746607404458351
2,800,92,355795,88059,0.752500737784398
2,800,93,326194,82770,0.74625529592819
2,800,94,307076,89322,0.709120869100809
2,800,95,324727,81717,0.748351692344646
2,800,96,348939,84677,0.757330077749979
2,800,97,349022,84609,0.757582616568583
2,800,98,347525,83469,0.759818718077836
2,800,99,324154,83476,0.742480425970372
